  date	amount
1/17/20	152
1/17/20	374.22
7/25/20	18
7/25/20	14
7/28/20	21
7/28/20	47
7/28/20	10
7/28/20	1
7/28/20	1
7/28/20	1
7/28/20	1
7/29/20	21
7/29/20	33
7/29/20	5
7/29/20	5
7/29/20	5
7/29/20	0
8/4/20	20
8/6/20	6
8/6/20	6
8/10/20	1
8/10/20	1
8/10/20	5
8/10/20	1
8/10/20	1
8/10/20	1
8/10/20	1
8/10/20	1
8/10/20	1
8/10/20	1
8/10/20	1
8/10/20	1
8/10/20	1
8/11/20	6
8/11/20	1
8/12/20	1
8/12/20	1
8/12/20	1
8/12/20	1
8/13/20	5
8/14/20	5
8/14/20	13
8/14/20	3
8/15/20	2
8/17/20	300
8/17/20	30
8/17/20	4
8/17/20	10
8/17/20	10
8/17/20	9
8/17/20	0
8/17/20	31
8/17/20	3
8/17/20	1
8/17/20	1
8/17/20	1
8/17/20	1
8/17/20	1
8/17/20	1
8/17/20	1
8/17/20	1
8/17/20	50
8/17/20	1
8/17/20	0
8/17/20	1
8/18/20	1
8/18/20	1
8/18/20	1
8/18/20	1
8/20/20	8
8/20/20	50
8/20/20	50
8/20/20	10
8/20/20	10
8/20/20	10
8/20/20	0
8/20/20	10
8/21/20	1
8/21/20	5
8/21/20	13
8/21/20	13
8/21/20	5
8/21/20	1
8/21/20	3
8/22/20	55
8/22/20	1
8/23/20	10
8/23/20	3
8/25/20	20
8/25/20	2
8/26/20	64
8/26/20	6
8/26/20	1
8/28/20	2
8/28/20	3
8/28/20	4
8/28/20	22
8/29/20	5
8/29/20	1
8/29/20	0
8/29/20	50
8/30/20	4
8/30/20	22
8/30/20	0
8/30/20	1
8/30/20	0
8/30/20	1
8/30/20	1
8/30/20	2
8/31/20	1
8/31/20	0
8/31/20	1
9/1/20	100
9/1/20	50
9/1/20	100
9/1/20	1
9/2/20	30
9/2/20	0
9/2/20	5
9/2/20	0
9/2/20	2
9/2/20	0
9/2/20	8
9/2/20	0
9/3/20	1
9/3/20	0
9/3/20	10
9/3/20	10
9/4/20	3
9/4/20	20
9/5/20	100
9/5/20	3
9/5/20	5
9/6/20	400
9/6/20	3
9/6/20	8
9/6/20	2
9/6/20	13
9/8/20	19
9/8/20	58
9/8/20	34
9/8/20	2
9/8/20	10
9/8/20	63
9/8/20	20
9/8/20	5
9/8/20	23
9/9/20	6
9/9/20	3.72
9/9/20	4.93
9/10/20	2
9/14/20	8
9/15/20	1
9/15/20	6
9/15/20	92
9/16/20	1
9/16/20	158
9/16/20	150
9/17/20	49
9/17/20	8
9/17/20	30
9/17/20	14
9/17/20	29
9/17/20	4
9/17/20	1
9/18/20	10
9/23/20	5
9/24/20	1
9/24/20	1
9/24/20	5
9/24/20	1
9/24/20	1
9/24/20	1
9/26/20	469
9/26/20	464
9/26/20	460
9/26/20	450
9/27/20	1
10/1/20	10
10/1/20	1
10/3/20	90
10/3/20	5.46
10/3/20	1
10/4/20	911
10/4/20	911
10/4/20	902
10/4/20	893
10/6/20	2
10/7/20	5
10/8/20	1
10/8/20	1
10/8/20	1
10/8/20	1
10/8/20	1
10/8/20	1
10/8/20	1
10/8/20	100
10/8/20	100
10/8/20	199
10/8/20	1
10/8/20	1
10/8/20	0.98
10/9/20	0.98
10/9/20	1
10/9/20	1
